plntname,centralwavelng,bandwidth,especlipdep,espbritemp,plntreflink,facility,instrument
WASP-76 b,1.2465,0.0189,0.0633,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.2655,0.0192,0.0692,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.2848,0.0193,0.0742,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.3038,0.0188,0.077,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.3226,0.0188,0.0836,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.3415,0.0189,0.087,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.3605,0.0192,0.0976,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.38,0.0199,0.0903,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.4,0.02,0.0882,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.4202,0.0203,0.0955,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.4406,0.0206,0.0988,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.4615,0.0212,0.1139,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.4831,0.022,0.116,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.5053,0.0224,0.1035,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.528,0.023,0.1067,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.5515,0.0241,0.1038,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.5762,0.0253,0.1138,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.6021,0.0264,0.1067,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-76 b,1.6295,0.0283,0.1031,,<a refstr=EDWARDS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020AJ....160....8E/abstract target=ref>Edwards et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.129,0.018,0.0903,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.147,0.019,0.0991,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.166,0.018,0.1002,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.184,0.019,0.1029,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.203,0.018,0.1066,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.222,0.019,0.0983,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.24,0.018,0.1031,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.259,0.019,0.1015,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.277,0.018,0.0994,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.296,0.019,0.1028,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.314,0.018,0.1008,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.333,0.019,0.1077,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.351,0.018,0.116,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.369,0.019,0.111,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.388,0.018,0.1262,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.406,0.019,0.136,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.425,0.018,0.1193,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.444,0.019,0.1304,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.462,0.018,0.1331,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.481,0.019,0.1342,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.499,0.018,0.1304,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.518,0.019,0.1276,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.536,0.018,0.121,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.554,0.019,0.1307,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.573,0.018,0.1388,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.591,0.019,0.1299,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.61,0.018,0.127,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
WASP-121 b,1.628,0.019,0.1286,,<a refstr=MIKAL_EVANS_ET_AL__2020 href=https://ui.adsabs.harvard.edu/abs/2020MNRAS.496.1638M/abstract target=ref>Mikal-Evans et al. 2020</a>,Hubble Space Telescope satellite,Wide Field Camera 3
